episode,episode_reward,loss
0,[124. -19.],"[nan, nan]"
1,[124. -19.],"[nan, nan]"
2,[124. -19.],"[nan, nan]"
3,[124. -19.],"[nan, nan]"
4,[124. -19.],"[nan, nan]"
5,[124. -19.],"[nan, nan]"
6,[124. -19.],"[nan, nan]"
7,[124. -19.],"[nan, nan]"
8,[124. -19.],"[nan, nan]"
9,[124. -19.],"[nan, nan]"
10,[124. -19.],"[nan, nan]"
11,[124. -19.],"[nan, nan]"
12,[124. -19.],"[nan, nan]"
13,[124. -19.],"[nan, nan]"
14,[124. -19.],"[nan, nan]"
15,[124. -19.],"[nan, nan]"
16,[124. -19.],"[nan, nan]"
17,[124. -19.],"[nan, nan]"
18,[124. -19.],"[nan, nan]"
19,[124. -19.],"[nan, nan]"
20,[124. -19.],"[nan, nan]"
21,[124. -19.],"[nan, nan]"
22,[124. -19.],"[nan, nan]"
23,[124. -19.],"[nan, nan]"
24,[124. -19.],"[nan, nan]"
25,[124. -19.],"[nan, nan]"
26,[124. -19.],"[nan, nan]"
27,[124. -19.],"[nan, nan]"
28,[124. -19.],"[nan, nan]"
29,[124. -19.],"[nan, nan]"
30,[124. -19.],"[nan, nan]"
31,[124. -19.],"[nan, nan]"
32,[124. -19.],"[nan, nan]"
33,[124. -19.],"[nan, nan]"
34,[124. -19.],"[nan, nan]"
35,[124. -19.],"[nan, nan]"
36,[124. -19.],"[nan, nan]"
37,[124. -19.],"[nan, nan]"
38,[124. -19.],"[nan, nan]"
39,[124. -19.],"[nan, nan]"
40,[124. -19.],"[nan, nan]"
41,[124. -19.],"[nan, nan]"
42,[124. -19.],"[nan, nan]"
43,[124. -19.],"[nan, nan]"
44,[124. -19.],"[nan, nan]"
45,[124. -19.],"[nan, nan]"
46,[124. -19.],"[nan, nan]"
47,[124. -19.],"[nan, nan]"
48,[124. -19.],"[nan, nan]"
49,[124. -19.],"[nan, nan]"
50,[124. -19.],"[nan, nan]"
51,[124. -19.],"[nan, nan]"
52,[124. -19.],"[nan, nan]"
53,[124. -19.],"[nan, nan]"
54,[124. -19.],"[nan, nan]"
55,[124. -19.],"[nan, nan]"
56,[124. -19.],"[nan, nan]"
57,[124. -19.],"[nan, nan]"
58,[124. -19.],"[nan, nan]"
59,[124. -19.],"[nan, nan]"
60,[124. -19.],"[nan, nan]"
61,[124. -19.],"[nan, nan]"
62,[124. -19.],"[nan, nan]"
63,[124. -19.],"[nan, nan]"
64,[124. -19.],"[nan, nan]"
65,[124. -19.],"[nan, nan]"
66,[124. -19.],"[nan, nan]"
67,[124. -19.],"[nan, nan]"
68,[124. -19.],"[nan, nan]"
69,[124. -19.],"[nan, nan]"
70,[124. -19.],"[nan, nan]"
71,[124. -19.],"[nan, nan]"
72,[124. -19.],"[nan, nan]"
73,[124. -19.],"[nan, nan]"
74,[124. -19.],"[nan, nan]"
75,[124. -19.],"[nan, nan]"
76,[124. -19.],"[nan, nan]"
77,[124. -19.],"[nan, nan]"
78,[124. -19.],"[nan, nan]"
79,[124. -19.],"[nan, nan]"
80,[124. -19.],"[nan, nan]"
81,[124. -19.],"[nan, nan]"
82,[124. -19.],"[nan, nan]"
83,[124. -19.],"[nan, nan]"
84,[124. -19.],"[nan, nan]"
85,[124. -19.],"[nan, nan]"
86,[124. -19.],"[nan, nan]"
87,[124. -19.],"[nan, nan]"
88,[124. -19.],"[nan, nan]"
89,[124. -19.],"[nan, nan]"
90,[124. -19.],"[nan, nan]"
91,[124. -19.],"[nan, nan]"
92,[124. -19.],"[nan, nan]"
93,[124. -19.],"[nan, nan]"
94,[124. -19.],"[nan, nan]"
95,[124. -19.],"[nan, nan]"
96,[124. -19.],"[nan, nan]"
97,[124. -19.],"[nan, nan]"
98,[124. -19.],"[nan, nan]"
99,[124. -19.],"[nan, nan]"
100,[124. -19.],"[nan, nan]"
